Tiempo, CPU, Mem
2025-04-02 01:41:21,10.0  7.8
2025-04-02 01:41:23,10.1  7.8
2025-04-02 01:41:25,10.1  7.8
2025-04-02 01:41:27,10.1  7.8
2025-04-02 01:41:29,10.1  7.8
2025-04-02 01:41:31,10.1  7.8
2025-04-02 01:41:32,10.1  7.8
2025-04-02 01:41:33,10.2  7.8
2025-04-02 01:41:35,10.2  7.8
2025-04-02 01:41:37,10.2  7.8
2025-04-02 01:41:38,10.3  7.8
2025-04-02 01:41:41,10.3  7.8
2025-04-02 01:41:42,10.3  7.8
2025-04-02 01:41:44,10.4  7.8
2025-04-02 01:41:46,10.4  7.8
2025-04-02 01:41:49,10.4  7.8
2025-04-02 01:41:50,10.4  7.8
2025-04-02 01:41:52,10.4  7.8
2025-04-02 01:41:54,10.5  7.8
2025-04-02 01:41:57,10.5  7.8
2025-04-02 01:41:58,10.5  7.8
2025-04-02 01:41:59,10.5  7.8
2025-04-02 01:42:01,10.5  7.8
2025-04-02 01:42:02,10.5  7.8
2025-04-02 01:42:04,10.5  7.8
2025-04-02 01:42:05,10.5  7.8
2025-04-02 01:42:07,10.5  7.8
2025-04-02 01:42:08,10.5  7.8
2025-04-02 01:42:10,10.5  7.8
2025-04-02 01:42:11,10.5  7.8
2025-04-02 01:42:12,10.6  7.8
2025-04-02 01:42:14,10.6  7.8
2025-04-02 01:42:16,10.6  7.8
2025-04-02 01:42:17,10.6  7.8
2025-04-02 01:42:19,10.6  7.8
2025-04-02 01:42:20,10.6  7.8
2025-04-02 01:42:22,10.6  7.8
2025-04-02 01:42:23,10.6  7.8
2025-04-02 01:42:25,10.7  7.8
2025-04-02 01:42:26,10.7  7.8
2025-04-02 01:42:27,10.7  7.8
2025-04-02 01:42:29,10.7  7.8
2025-04-02 01:42:30,10.7  7.8
2025-04-02 01:42:31,10.6  7.8
2025-04-02 01:42:33,10.6  7.8
2025-04-02 01:42:36,10.6  7.8
2025-04-02 01:42:37,10.6  7.8
2025-04-02 01:42:38,10.6  7.8
2025-04-02 01:42:39,10.6  7.8
2025-04-02 01:42:41,10.7  7.8
2025-04-02 01:42:43,10.7  7.8
2025-04-02 01:42:45,10.8  7.8
2025-04-02 01:42:47,10.9  7.8
2025-04-02 01:42:48,11.0  7.8
2025-04-02 01:42:51,11.0  7.8
2025-04-02 01:42:54,11.2  7.8
2025-04-02 01:42:56,11.2  7.8
2025-04-02 01:42:57,11.2  7.8
2025-04-02 01:42:59,11.2  7.8
2025-04-02 01:43:00,11.3  7.8
2025-04-02 01:43:02,11.4  7.8
2025-04-02 01:43:04,11.4  7.8
2025-04-02 01:43:05,11.4  7.8
